Date,Open,High,Low,Close,Volume
10/07/2022,"100.65","101.42","99.21","99.57","24,249,910"
10/06/2022,"101.50","103.73","101.50","102.24","17,156,240"
10/05/2022,"100.69","102.74","99.74","102.22","18,475,520"
10/04/2022,"101.04","102.72","101.04","102.41","22,580,930"
10/03/2022,"97.22","99.97","97.02","99.30","24,840,029"
09/30/2022,"97.73","99.49","96.03","96.15","26,277,830"
09/29/2022,"99.30","99.30","96.52","98.09","21,921,520"
09/28/2022,"98.02","101.40","97.80","100.74","24,617,000"
09/27/2022,"99.91","100.46","97.34","98.09","24,224,990"
09/26/2022,"98.61","100.44","98.38","98.81","22,437,939"
09/23/2022,"100.06","100.11","98.01","99.17","25,656,961"
09/22/2022,"99.45","101.68","99.41","100.57","21,272,680"
09/21/2022,"102.24","103.49","99.99","100.01","26,596,760"
09/20/2022,"102.88","103.17","101.12","101.83","24,001,670"
09/19/2022,"102.54","104.02","102.37","103.85","19,738,600"
09/16/2022,"102.97","104.03","101.86","103.63","64,540,121"
09/15/2022,"105.01","106.21","103.31","103.90","26,494,930"
09/14/2022,"105.44","106.10","104.50","105.87","22,115,811"
09/13/2022,"108.89","109.37","105.00","105.31","33,014,988"
09/12/2022,"111.99","112.64","110.93","111.87","19,732,910"
09/09/2022,"110.05","112.00","110.00","111.78","21,745,029"
09/08/2022,"109.18","110.58","108.06","109.42","21,660,650"
09/07/2022,"107.76","110.99","107.62","110.48","22,987,180"
09/06/2022,"108.14","108.88","106.51","107.48","20,565,051"
09/02/2022,"111.34","111.68","108.13","108.68","20,618,080"
09/01/2022,"109.20","111.22","108.19","110.55","22,784,391"
08/31/2022,"111.63","111.77","109.05","109.15","25,897,980"
08/30/2022,"111.03","111.37","108.80","109.91","20,548,199"
08/29/2022,"110.78","111.96","109.81","110.34","20,386,141"
08/26/2022,"115.81","116.60","111.22","111.30","31,698,670"
08/25/2022,"115.15","117.78","115.05","117.70","14,874,670"
08/24/2022,"114.45","115.72","113.78","114.70","16,051,170"
08/23/2022,"114.32","115.93","114.30","114.77","14,390,690"
08/22/2022,"116.10","116.50","114.67","115.07","19,316,020"
08/19/2022,"119.87","120.00","117.67","118.12","20,186,980"
08/18/2022,"120.23","121.69","119.55","120.86","15,652,030"
08/17/2022,"120.93","122.15","120.20","120.32","17,589,160"
08/16/2022,"122.32","123.23","121.54","122.51","15,626,170"
08/15/2022,"122.21","123.26","121.57","122.88","15,524,950"
08/12/2022,"121.16","122.65","120.40","122.65","16,121,090"
08/11/2022,"122.08","122.34","119.55","119.82","16,671,631"
08/10/2022,"119.59","121.78","119.36","120.65","20,497,020"
08/09/2022,"117.99","118.20","116.56","117.50","15,424,260"
08/08/2022,"119.12","120.86","117.83","118.14","17,061,109"
08/05/2022,"116.93","118.86","116.71","118.22","15,615,660"
08/04/2022,"118.30","119.50","117.71","118.87","15,757,700"
08/03/2022,"116.34","119.42","116.15","118.78","25,302,820"
08/02/2022,"114.43","117.08","114.26","115.90","17,911,039"
08/01/2022,"115.53","117.12","114.69","115.48","22,856,199"
07/29/2022,"113.40","116.90","113.23","116.64","31,336,180"
07/28/2022,"112.80","114.70","111.85","114.59","23,303,840"
07/27/2022,"109.60","114.40","108.42","113.60","41,474,621"
07/26/2022,"107.43","107.74","104.76","105.44","36,626,633"
07/25/2022,"108.88","110.58","107.01","108.21","28,289,939"
07/22/2022,"111.81","113.18","107.60","108.36","44,455,301"
07/21/2022,"115.09","115.21","111.91","115.04","27,267,850"
07/20/2022,"114.06","116.33","113.26","114.70","26,780,090"
07/19/2022,"111.73","114.81","110.50","114.62","30,992,330"
07/18/2022,"113.44","114.80","109.30","109.91","33,353,988"
07/15/2022,"112.96","114.00","111.82","112.77","34,330,760"
07/14/2022,"110.83","111.99","109.33","111.44","32,365,540"
07/13/2022,"112.64","115.16","111.82","112.19","38,958,860"
07/12/2022,"116.84","117.85","114.62","114.85","24,970,160"
07/11/2022,"118.65","118.79","116.23","116.52","26,830,460"
07/08/2022,"117.55","120.44","117.51","120.17","29,082,200"
07/07/2022,"116.01","119.86","115.53","119.31","32,183,940"
07/06/2022,"114.09","116.35","112.25","115.21","28,852,680"
07/05/2022,"107.51","114.05","106.25","113.89","36,429,380"
07/01/2022,"108.34","109.81","107.11","109.08","31,027,880"
06/30/2022,"110.50","111.33","107.31","109.37","38,046,040"
06/29/2022,"112.15","113.66","111.55","112.26","18,627,860"
06/28/2022,"116.35","117.86","112.44","112.57","28,316,220"
06/27/2022,"118.94","119.25","116.00","116.62","32,839,300"
06/24/2022,"113.60","118.64","113.60","118.54","39,122,760"
06/23/2022,"112.95","113.20","111.03","112.68","24,709,720"
06/22/2022,"111.16","113.77","110.72","112.03","23,921,720"
06/21/2022,"109.70","112.67","109.29","112.02","39,010,280"
06/17/2022,"106.54","109.25","105.63","107.87","43,516,660"
06/16/2022,"108.15","109.29","105.79","106.64","35,313,240"
06/15/2022,"108.90","112.06","108.12","110.39","33,192,020"
06/14/2022,"106.89","108.46","106.35","107.19","25,480,940"
06/13/2022,"107.45","109.22","106.59","106.88","36,756,200"
06/10/2022,"112.78","113.50","110.86","111.43","31,349,740"
06/09/2022,"116.34","118.35","114.87","114.92","23,141,600"
06/08/2022,"116.88","118.65","116.70","117.24","22,544,260"
06/07/2022,"115.65","117.75","115.13","117.23","26,413,540"
06/06/2022,"116.74","119.40","116.53","117.01","23,786,720"
06/03/2022,"115.99","116.36","113.67","114.56","24,952,080"
06/02/2022,"114.19","117.90","113.31","117.75","27,495,400"
06/01/2022,"114.93","117.40","113.55","114.14","28,629,280"
05/31/2022,"113.08","116.43","112.57","114.04","51,301,920"
05/27/2022,"109.79","112.87","109.55","112.80","29,924,420"
05/26/2022,"106.05","108.96","105.49","108.30","30,287,480"
05/25/2022,"105.14","106.54","104.21","105.84","37,899,340"
05/24/2022,"106.38","106.40","102.21","105.93","60,386,380"
05/23/2022,"110.10","112.01","109.15","111.67","31,558,220"
05/20/2022,"112.09","112.55","106.37","109.31","37,586,020"
05/19/2022,"111.84","113.59","110.47","110.75","29,191,740"
05/18/2022,"115.24","115.70","112.14","112.40","27,982,760"
05/17/2022,"117.23","117.23","115.34","116.70","21,576,080"
05/16/2022,"115.38","116.61","114.34","114.79","23,282,380"
05/13/2022,"114.85","118.09","114.00","116.52","29,737,560"
05/12/2022,"111.94","114.86","110.11","113.16","41,464,880"
05/11/2022,"113.71","116.67","113.65","113.96","36,501,640"
05/10/2022,"116.04","116.69","113.38","114.58","31,157,780"
05/09/2022,"113.30","115.56","112.55","113.08","34,520,960"
05/06/2022,"115.52","117.50","114.14","115.66","35,309,480"
05/05/2022,"120.22","121.23","115.18","116.75","43,089,040"
05/04/2022,"118.00","123.14","115.74","122.58","33,231,460"
05/03/2022,"116.77","119.30","116.63","118.13","21,215,740"
05/02/2022,"113.91","117.34","113.40","117.16","30,279,640"
04/29/2022,"117.58","118.96","114.69","114.97","33,693,100"
04/28/2022,"117.12","120.44","115.14","119.41","36,790,940"
04/27/2022,"114.37","117.50","113.12","115.02","62,238,120"
04/26/2022,"122.75","122.75","119.16","119.51","49,393,040"
04/25/2022,"119.43","123.28","118.77","123.25","34,521,800"
04/22/2022,"125.00","125.45","119.14","119.61","46,410,300"
04/21/2022,"129.35","130.31","124.65","124.94","30,157,540"
04/20/2022,"131.28","131.92","127.89","128.25","22,609,380"
04/19/2022,"128.08","130.90","127.45","130.53","22,719,300"
04/18/2022,"127.41","128.71","126.58","127.96","14,917,200"
04/14/2022,"130.65","130.71","127.11","127.25","23,483,360"
04/13/2022,"128.63","130.66","128.44","130.29","19,542,960"
04/12/2022,"132.42","132.42","127.58","128.37","23,003,220"
04/11/2022,"132.90","132.94","129.62","129.80","24,187,340"
04/08/2022,"136.25","136.25","133.75","134.01","16,434,480"
04/07/2022,"136.62","137.70","134.86","136.47","19,448,540"
04/06/2022,"139.16","139.85","136.42","137.18","23,574,600"
04/05/2022,"143.40","143.59","140.94","141.06","19,255,560"
04/04/2022,"140.82","144.04","140.82","143.64","19,084,900"
04/01/2022,"140.01","140.95","138.80","140.70","23,480,020"
03/31/2022,"142.45","142.64","139.62","139.65","29,516,320"
03/30/2022,"142.87","143.48","142.17","142.64","21,046,380"
03/29/2022,"143.16","144.16","142.48","143.25","28,678,420"
03/28/2022,"140.68","141.98","139.83","141.95","23,773,080"
03/25/2022,"141.75","141.96","139.70","141.52","19,289,080"
03/24/2022,"139.27","141.40","138.04","141.31","20,544,720"
03/23/2022,"139.14","140.03","138.17","138.50","25,302,320"
03/22/2022,"136.50","141.50","136.50","140.28","29,776,860"
03/21/2022,"136.85","137.58","134.61","136.48","26,632,460"
03/18/2022,"133.88","136.91","132.93","136.80","45,899,700"
03/17/2022,"133.32","134.74","132.72","134.60","23,994,380"
03/16/2022,"131.00","133.77","129.20","133.69","32,058,200"
03/15/2022,"127.74","130.52","126.57","129.66","30,292,600"
03/14/2022,"130.57","131.03","126.41","126.74","30,253,860"
03/11/2022,"134.00","134.20","130.30","130.48","26,599,800"
03/10/2022,"131.46","133.54","131.40","132.68","24,265,200"
03/09/2022,"131.40","134.20","130.09","133.87","32,257,440"
03/08/2022,"126.25","131.25","125.86","127.28","35,249,560"
03/07/2022,"131.90","131.90","126.41","126.46","39,177,900"
03/04/2022,"133.38","134.20","130.41","132.12","24,472,240"
03/03/2022,"135.98","136.71","133.43","134.31","19,779,300"
03/02/2022,"134.61","135.62","133.43","134.75","23,966,740"
03/01/2022,"134.48","136.11","133.38","134.17","24,639,920"
02/28/2022,"133.28","135.64","132.83","134.89","29,675,680"
02/25/2022,"133.53","135.39","131.77","134.52","26,235,860"
02/24/2022,"125.00","133.04","124.76","132.67","43,165,080"
02/23/2022,"131.08","131.75","127.50","127.59","26,431,280"
02/22/2022,"129.99","131.90","127.74","129.40","38,906,580"
02/18/2022,"133.04","133.82","130.31","130.47","31,858,600"
02/17/2022,"136.15","136.84","132.20","132.31","30,968,120"
02/16/2022,"136.43","137.95","134.82","137.49","25,609,660"
02/15/2022,"137.47","137.90","135.54","136.43","26,577,560"
02/14/2022,"133.37","136.17","133.30","135.30","26,792,800"
02/11/2022,"138.75","139.28","133.29","134.13","38,808,800"
